session,set 1,set 2 
1,baseline-1,baseline-1
2,baseline-2,baseline-1
3,baseline-1,baseline-0
4,baseline-3,baseline-2
5,baseline-1,baseline-1
6,intervention-6,baseline-1
7,intervention-7,baseline-0
8,intervention-5,baseline-1
9,intervention-5,baseline-2
10,intervention-4,baseline-1
11,intervention-7,intervention-6
12,intervention-6,intervention-7
13,intervention-8,intervention-8
14,intervention-6,intervention-6
15,intervention-7,intervention-9
16,intervention-5,intervention-7
17,intervention-9,intervention-8
18,intervention-6,intervention-7
19,intervention-8,intervention-8
20,intervention-7,intervention-9
